User_name,when user commented?,Comments body,Number Of Likes,Number of Replies
Gerrit Todd,1 day ago,Most people have heard of them for 20 years now and even before. Stop giving them clout,,
Masudbek Jurakulov,2 months ago,Afghan people are brave and strong I have ever seen in this world God save and give strength to this hero people.,283,View 107 replies
moshagana84 Lusinta,4 days ago,"Be safe, don't enslave others with addictive drugs",,
Andres Mendoza,1 day ago,"The abashed europe equally remove because factory contrarily jail as a homeless spandex. cuddly, awesome nylon",,
love,4 hours ago,"🤷 20 years ago, USA Taliban will pay the price..2020 USA im going back to my country... Taliban let me take my country back...I have some feelings the Taliban will learn from USA and treat everyone equal.",,
Chris Ow,3 days ago,Well... now we are witnessing how Afghanistan is like under Tali,,
Nisha Akter,2 months ago,"Hiding the truth can't last for long...
US helped them and then US called them Terrorist.. 
And then news channels came on..",320,View 33 replies
dzamija922,5 days ago,"Well, they did it. The US systematically annihilated yet another middle Eastern country, took the oil, and abandoned them. And now innocent people are fleeing their home to survive. Business as usual. And of course, the migrants will go to Europe, not to the US. Brilliant foreign policy, if just a bit on the abhorrently inhumane side, but hey",11,View 5 replies
Busty Springfield,2 days ago,"Dear Joe, 

This is just a quick note of thanks.",1,
Brian John Winiata-Katting,3 days ago,The power of Religion vs the flaws of democary,,
Zad,1 week ago,"“Will the government survive and what will the taliban do?”

Well say sike right now, they did it in less than a day lmao.",744,View 64 replies
Amaar Ali,3 days ago,imagine funding their wars then calling them terrorists 😂,7,
Mohammed Ali,1 day ago,We don’t really know if the taliban are innocent or not but what we do know is that America is guilty and has committed the most worse horrific war crimes humanity has ever witnessed,,
Harsh Choksi,3 days ago,"@Sandra Gatmaam 

Your videos are short but impact long.
You speak so professionally and calm manners",,
Qai Kai,6 days ago,THIS IS WHAT I SUPPOSE TO BE..✊✊✊✊✊,,
Kranky. K!,1 week ago,I love how calm she is.,204,View 16 replies
skmn soh,6 days ago,Im somehow worried for these speakers for their life by talking against taliban. They still safe ?,,
Pedo phile Muhammad,6 days ago,I would love to provide guidance to humanity.,,
Eda Navarra,6 days ago,God bless your people,1,
DR AJAY,11 hours ago,"Wow if this channel knows what gonna happen then it's obvious that is
Us govt know this. Stuff",,
Zakir Hussain Khokhar,2 months ago,In between America and Russia enemity other nations become victims of their bomb experiments.,396,View 29 replies
Matthew Jones,2 days ago,These Taliban boys are living the lives of true Muhammadans.,,
Last chance Cowboy,2 days ago,Love how YouTube posts disclaimer about who may or may not fund Al Jazeera . Yet no disclaimer for our Israeli dominated media.,6,
LSmallCatL,5 days ago,So after all… It’s been nothing but a 20 year delay for this country to run its course.,,
Kalala Wulf,1 day ago,Comedy is also best in the UK! |,,
Luke Warmwater,1 week ago,"This host is very calm, elegant, and measured...",383,View 28 replies
Steven Wheat,2 days ago,"A bunch of cavemen following a book made by a bunch of cavemen..
Selling poppy plants= a bunch of hypocrites..",,
Pirate 101 Videos,1 day ago,Oh wow. They have one leak and its game over for them. We have 100's and nothing. |,,
Prónai Gergő,1 day ago,It’s ok that republicans our stealing the vote from Americans their suppose to work for !🤬 |,,
Brandon Lanphear,1 day ago,Biden doesn't have a clear vision of how to put on his depends. |,,
M Amer,2 months ago (edited),"May Allah bless Afghanistan and grant peace.
Afghanistan is graveyard of empires home of brave people",61,View 10 replies
Susan Chan,3 days ago,Biden make Taliban great again....well done.,,
Pritom Baruah,6 days ago,"World witnessed, a lunatic with a seal of God (any god okay), can do anything ,without fear. And people support because he has got seal of God.",,
FF SCOUT,2 hours ago,"It of no use to know origins of evils 
But the evils must be removed",,
AdamJQSmith,4 days ago,she's so pretty,,
카이,1 week ago,There’s no point for the US troops staying in Afghanistan since most people always said there are the ones who destroy the Middle East.,269,View 13 replies
Jonius7,5 days ago,"Time will tell, and actions speak louder than words. This is an opportunity for the Taliban to bring in a new era of peace and stability for Afghanistan, to rebuild trust with the wider international community. Have a look at Sky News' interview with a Taliban spokesperson saying ""US forces will not be attacked"". They're saying all the right things.",,
Pratik D,1 day ago,"Background music and changing chair, both unnecessary !",,
Nathan Stamford,4 days ago,She is saying Sharia court offers justice 🤣🤣🤣🤣🤣🙏🏽🙏🏽,,
Michel Jimenez,4 days ago,Why can’t America just send a plane with a huge nuke and throw it on em-,3,View reply
Babu Ray,1 week ago,History of Afghanistan shows that the Afghanistan is a graveyard. Whoever tried to rule it perished.,588,View 26 replies
urbsasusual,1 day ago,What do the Afghanistan want USA to do? They don't even want to fight for their own country. They want the USA out and they want the USA system. I don't get it.,2,View reply
Charles Love,2 hours ago,Question is will they use the 88 billion dollar worth of US military equipment that our fraud president left Against Us? I don’t think people realize that they now have more black hawk helicopters than Australia.,,
Lemuel Heath,3 days ago,This video aged well,,
Studious Wanderer,1 month ago,People surprise their enemies by sudden attack. But US surprised everyone by sudden leaving.,328,View 11 replies
Mark Basham,3 days ago,This presentation needs a truth check from someone else than the MSM,,View reply
Bunker Suara,2 hours ago,I just hope the people get evacuated safely,,
ugotserved911,3 days ago,This video was released 2 months ago ahead of what happened. Seems like ppl knew this would happen. CIA and Biden.,,
Seara Beara,15 hours ago,"Nice try, the Taliban banned Opium production and america reinstated it.",,
mehedi hasan,1 month ago,The only thing that I learned about Afghanistan in school is-Kabul is it’s Capital.,285,View 21 replies
LoneWolf 95,4 days ago,"So beautiful add smart, can watch her all day 🤤🤤🤤🤤🤤",,
Gaston DeBiedma,4 days ago,The Taliban took over Kabul 25 years ago to establish their own government....I had no idea.,,
Pierre Cordova,20 hours ago,This lady is really pretty 🙂,,
muneeb khan,2 months ago,"Al-Jazeera in this video has done a statistical error...You have mentioned in this video how many Afghan police,how many Afghan civilians,how many International soldiers died in Afghan conflict but you didn't mention how many Taliban fighters lost their lives.
This Question is just for Statistical purpose and not for any political purpose....",116,View 63 replies
Ankan Biswas,5 days ago,It seems to me that the  intel wing of Al jazeera is way superior than any other countrie's Intel.,,
mike young,3 days ago,"7th century Sharia Law. Ordo Ab Chao, Novus Ordo Seclorum",,
Misfit,4 days ago,Why can’t the international forces totally wipe out the taliban,,
Ya Yeet,17 hours ago,God is definitely separating the sheep alright 🤣 |,,View reply
pickle of death,1 week ago,"Why can’t it just be “you pray to your god, I’ll pray to mine” and we just let eachother live our own lives.",84,View 18 replies
Paul McMullan,1 day ago,"You fail to mention koranic abrogation.
Your virtue signalling is worthless.",,
Airpig Animations,4 days ago,Taliban: and ill flippin do it again,,
Juanita Thomas,2 days ago,"Make the cities safe, what by throwing people off buildings and shooting them if they do not follow sharia law?",,
sirtuto,4 days ago,"815.7B spended on war but only 130.5B on reconstruction. There is the problem, the goal was never to help these people.",,
Angar Dotani,2 months ago,"Weather you like it or not, Afghanistan has defeated 3 super power of their times, british Russians and now Americans 🦁",139,View 50 replies
Roni James,2 days ago,"First you sponsor the guys, then they betray you, you try to fight them spend 2 trillions $ and leave achieving nothing, good for uuu!",,
USSA,4 days ago,Biden: Make Taliban Great Again!,,
Axemuth,2 days ago,"Earth is basically the real life version of games where you conquer fortresses and enemy Retake the fortresses, and you have to fight to take it over, AGAIN...Why couldnt the world think of peace for at least one day?",,
Evans Martha rose,1 day ago,"The steadfast force previously whistle because lawyer ordinarily hug with a tender tense prepared. cumbersome, royal stocking",,
fuferito,2 months ago,"The Afghan government asking the US for proof of Bin Laden's involvement in 9/11 wasn't too much to ask, to be honest.",96,View 14 replies
No Name,2 days ago,Its remarkable the title of this video. It’s has if the world has forgotten all this. These types of videos were every where in the immediate aftermath of 9/11. It’s like rehashing old material.,,
Satadal Chakraborty,6 days ago,"Oh, death rate in war is higher than covid 19",,
davey T.,4 days ago,this is more relevant than ever,,
ian .garcia,5 days ago,when religion and ideology are used for self gain this happens..,,
William Lee,2 months ago,"In this era its so hard to get neutral news, every news station has their own agenda and political ideals, including this one",65,View 9 replies
Atiamuri,5 days ago,I would rather an afghani inform me about the taliban.i don't trust someone speaking with an American accent for some reason🤔,2,View reply
Ronin Gazelle,5 days ago,I love how she posed in the thumbnail like she’s a member of the Taliban as well,5,View reply
kmerebeecham10,21 hours ago,Oh! You are out of line with the vaccination talk!!! You are the people causing division! How dare you!!!! |,,
M. Jeddah,3 days ago (edited),"First of all, learn to properly pronounce Taliban. It is difficult to find any credibility in what you report when you mispronounce key words.",,
Chechen Muslim,2 months ago,"Imho it’s impossible to fight the powerful western occupational forces and their puppet afghani forces for 20 years and before that 9 years against Soviet Union without a huge support from the local population, so maybe this taliban isn’t so bad as it is represented by media? Why would people support them if they are so bad?",197,View 43 replies
D R,5 days ago (edited),"So much sad loss of life, including so many truly innocent children of Afghanistan and a beautiful boy who was my son’s best friend and used to camp on our floor when he was a young kid, two weeks deployed he met an incendiary device, never got to fully grow, no less tragic for those who did. No winners.",,
Malloy,6 days ago,"Well I mean as long as everything that's happening there will stay there it's, in the end, their country and if there are people who don't live there then let them leave the country and if there are people which wants to stay it's their choice. 
And if they have some strict and stupid rules it's again their choice, but people who live there actually and doesn't agree to the rules should be able to leave.",,
reffoelcnu alouncelal,3 days ago,"I find it ironic the taliban have welcomed a partnership with China ,,,they probably aren’t worried about china’s treatment of the Muslim Chinese the ygurs ,, it shows they are all about power not religion",1,
FUFU,5 days ago,Rambo and Bond hyped them,,
Truth and Justice are only Words,2 months ago,"Taliban are students, who thought let's do practicals enough of theory!!",182,View 13 replies
Raj,4 days ago,"We all saw by now that Taliban recaptured whole Afghanistan within days without any Resistance. What it means? Majority of Afghans & army support Taliban. Then, Why foreigners worry excessively ? Let Afghans rule their own country. Don't mess with their Motherland once again !",9,
Javier Harth,4 days ago (edited),"She's hipnotizing, isn't she?
She's also full of it!!
Regrouping of the Taleban...?",,
Flara Fx,3 days ago,I don't know what you guys but did you notice at the end it sounded like she was totally on board with the Taliban,,
nico plays roblox,4 days ago,Truly wow,,
Rick,1 week ago,"The US came to end the taliban, right? So what does it mean when they left and now the country basically belongs to taliban again?  What were they thinking?",260,View 18 replies
Marcus Cassius,3 days ago,So pretty,,
Who Cares?,5 days ago,"Congratulations. Now Afghanistan is well on it's to a bright and prosperous future in the 7th century; and women and other minorities are about to be in for a bumpy ride.

Religion of PEACE for you, folks.",1,
Clay Hambrick,2 days ago,"Also in just over a minute into this video where it shows the taliban member saying they want to go to Kabul and bring Muslim law into their country nothing is mentioned about how when the taliban overtook the capital that there was an internal conflict within themselves that led to them turning their rifles and rockets on each other leaving their capital in rubble in the aftermath. Why is that people are just now asking who is the taliban? How is that Everyone wanted to pretend that Afghanistan hadn’t been in constant religious conflict and civil war for thousands of years and that the only thing keeping radical movements such as al qaeda, the taliban, and many more from doing exactly what they did within a day of the United States pulling out, was the simple presence and fighting that American forces and other allies had to do for Afghanistan’s people. Their own army care more about getting high and collecting a paycheck rather than bringing any sort of freedom or peace or retaining and protecting their homeland and freedom by themselves. The second the U.S pulled out Afghanistan’s president fled and their army threw down their guns and the taliban swept through very easily re occupying anything and anywhere they had the capabilities to do so. The taliban are nothing new?… they’ve just been waiting for the ones who are not scared to fight them to leave so they could come back and reinforce the strict radical beliefs they have been trying to install for thousands of years! And it will never change. Anyone who will take time to do research about what’s going on in the world instead of shoving their faces constantly into other bs constantly would have known all this already. I’m seeing everywhere like everyone is surprised and just learning about this issue that’s going on in Afghanistan. It really puzzles me how many people are just so oblivious to everything going on in the world",,
Matthew Doherty,21 hours ago,"The most important thing to Joke Biden is his Vacation, not rescuing Americans and Allies. |",,
MercyY 450,2 months ago,"afghanistan is only for afghans, no one is going to live peacefully there except afghans ! long live the great country 🇦🇫🇦🇫",163,View 22 replies
Nish Patel,6 days ago,Good job YouTube algorithm,,
bmw325ia,3 days ago,"If you ever feel useless.... 
Just remember USA took 4 Presidents, 
Thousands of lives, 
Trillions of dollars & 20 years to Replace Taliban with Taliban.",,
Kamputhaw Skeptrons,3 days ago,Just gave them a land and herd of goats and call it a day.,,
The Fire Dragon,2 days ago,"Let the Talian rule there. We allow Saudia Arabia to exist and they have the same strict rules. We have no business in that part of the world, and they DO have business there. If you need Lithium trade for it.",1,
Kyle Kennedy,1 month ago,“You have to have a certain kind of beard” shows several Taliban with no facial hair…,239,View 23 replies
Nizo Dizo,3 days ago,"The Taliban. Army fatigues, beard, high powered pot, high powered guns and opium.(and or meth) 
Hillbilly. Army fatigues, beard, high powered pot, high powered guns and meth. (and or opium)",,
B R,5 days ago,They fight international occupation and female occupation. 💯,,
Ed Freeman,3 days ago,"No, the Afghan government did not survive and there was chaos at Kabul airport.",,
virxest,1 day ago,"God's plan. The more I think about it, the more it seems to be true. The world must be diverse, and this can only be done if people are already born with genes that cause wars (or vice versa). If you look at the world map, every country seems to be a bit different ... there are peaceful countries, there are naturally beautiful countries, there are starving countries (but otherwise peaceful) and then there are countries that are constantly fighting. It's all God's plan, so you can born in any possible situation, so that your soul can get the desired ""environment"" that is best for your growth (spiritually). The war must never end, it is the goal of the higher forces to give you choices ...",,
About Islam,2 months ago,لَا إِلٰهَ إِلَّا اللّٰهُ مُحَمَّدٌ رَسُولُ اللّٰهِ 💕🇵🇰,183,View 16 replies
Heri Styono,6 days ago (edited),"""They've been fighting the government for 20 years.""

No,  we are the government.",4,View 3 replies
Deng Thiep,3 days ago,"They will rule, whether you like them or not.",,
achim baeppler,3 days ago,"Many questions still unsolved.... Please check also The mess what us, Nato, etc did.",,
meman800,23 hours ago,"85% of the people don't like them. Guess some of those 85% should start removing them with well placed shots. No outsiders can do it, it has to come from within. One shot, one less taliban... how do you eat an elephant?",,
save the world,2 months ago (edited),"Is this true that they defeated three superpowers?
Edit: thank you for correcting me.",183,View 135 replies
Grand master Semos,13 hours ago,"I dont trust this media anymore... Including cnn, bbc n fox news...",,
BrandonG97,3 days ago,"Damm she fine, why coulden't she be my history teacher",,
K-POP Fashion 360,23 hours ago,we want 3rd world war against Taliban.Taliban vs whole world,,
Николай Ханзо,2 days ago,a new character in for honor?,,
Virginia Lover Productions,1 week ago (edited),"Whenever a certain religious extremist group is in charge, things become awful.",144,View 13 replies
Frogs Please,23 hours ago,We’ll now we know.,,
Nomad,5 days ago,The takeover was to be expected. These weak government militaries stand no chance against private military organisations like the Taliban,,
ThankGod Chijioke,6 days ago,Taliban is defined simple as AK-47 for everyone everywhere,,
Anna Clerides,1 day ago,Why can't we just stop their resources,,
MrGabrielJude,1 week ago,"I’d like to hear Biden answer the question, “Who are the Taliban?”",190,View 12 replies
Ryan Lesner,5 days ago,What are the Privet Security Companies doing?,,
Gordon Consultants Inc.,2 days ago,Graveyard of A lot of Empires,,
PARA SOAP,6 days ago,"History repeats,😥😥",,
Fernando Briseno,23 hours ago,Why is it that 85% of Afghan ppl don't approve of the Taliban but they won't stand against them? That's their war to fight just like our ancestors bled during the Civil War. They have to pay for their future with Afghan sweat and Afghan blood there is no way around it.,,
Elsie Tong,1 month ago,"Wherever USA goes , USA leaves with a mess.",425,View 30 replies
Peruz Kolwa,3 days ago,In this situation i feel more sorry for women and children.,,
Ann,4 days ago,I would rather our troops home and be done with their war. This's going too long wasted our tax money and risking our troops.,1,
?,3 days ago (edited),Afghanistan needs 100 years of Taliban rule.,,
Trim Reaper,6 days ago (edited),"If you ask Joe Biden, everything's ""under control"" and there's nothing to see here folks! He's planned for all situations...... Except this one... 👍🏼😳😬🙄🤦🏼‍♂️",1,View reply
Slyboi,2 months ago,Iran doesn’t help the taliban. The fact that Iran would even be mentioned supporting the Taliban is just a joke.,144,View 48 replies
Christopher king,3 days ago,"The Taliban , Started before the 80s !",,
Kamarulaznan Mohd Said,3 days ago,Why do we bother somebody's backyard?  It is the land they live and adopt their way of living.  It's their business. Somehow the world adopts a different view when it come to this issue.  There should be no issues at all in the first place.,,
Paul Petru Alexandru Cazacliu,4 days ago,Another North Korean nuclear wild card in the making. Just the opposite of what Joe Biden has intended.,,
المصمم البعثي ALMSMM AlBATHY,6 days ago,Talban 🔥🔥🔥,,
Sasha Winnie,1 week ago,Using human right to fuel the weapon industry/military is the biggest irony,128,View 5 replies
Numberpog ink,20 hours ago (edited),"*Vengeance is mine, I will repay*, says the Lord watch out talibans  who wish to mess with the Creator of the universe? Your souls will suffer in all eternity until you repent. Your choice. Your eternity.",,
Sunghoon Pahk,3 days ago (edited),"Why taleban survived during us staying for 20 yrs?
1st. Us failed to get the minds of majority of people there.
2nd. Us puppet government was not approved by the people and incompetent.
3rd. On the contrary to us backed media, taleban was not so much unpopular as you learned.",,
Muhammad Yaseen Mahtaab,4 days ago,Thank you...,,
Milos Zivkovic,16 hours ago,Did afganistan talibani ever invaded anyone im asking you?,,
M. Asad Abbas,1 month ago,"Amazed, that one person did a survey in the whole Afghanistan, he should be hired to survey in other countries!!",156,View 9 replies
D Gray,5 days ago,"Two down, one to go !
Well...., with all the valuable oil, and minerals that Afghanistan seems to possess, not to mention the age old opium business, let's see what China can do with em !",,
MASS JOEE,3 days ago,Soon changes will coming on countries before whom needs fighting eachothers countries to selling arms products it's over great leadership coming soon each and every countries friendships also not suitable leaders gone from here automatically people lifestyle will be change and peacefully living with own families💘💞❤️👪👈.,,
Bronx Babic,17 hours ago,What is that no understands you can spend another trillion and the taliban will still be there,,
I Forgot,5 days ago,And two months later... Here we are.,,
Stubborn BossAB,1 month ago,"Bush: The Taliban will pay a prize 2001. 
Taliban: Let's see 2021",122,View 6 replies
BHASWANTH Ranga,6 days ago,Talibans are the founding fathers of AL-JAZEERA 😂😂😎,,
Touhid Alvee,3 days ago,"7:03 your goverment is not protecting you
who needs time machine?",,
Ricardo Campbell,1 day ago,"I'm black., & If they can bring about civilization., And there is healthy citizens and no crime in their cities ., Then let them take over.",,
Lakshmi Bhargavi,6 days ago,"How they know soo much earlier...
But I jast happened few days back..
Great .... 👍👍",,
Jon Doe,1 week ago,"Wow this aged well. On another note, all the questions that have been asked are currently being answered or have been answered",97,View 3 replies
Oliver Ford-Begnor,13 minutes ago,"Really good video, short and concise and contains all the useful info. Many Thanks",,
soulstice,9 minutes ago,Dumbest “war” in history,,
suji jordhan,4 days ago,👍👍👍,,
Wani,19 hours ago,"So much time, money, energy spent and blood shed over power. I wonder what happens in their brain to thinking that this is a comfortable life.

 If only if everyone in the world just want live a simple life; work,  get married, have kids...and man, get a nice sleep. How tf do u sleep knowing u have to go war tmrrow or make plan to seize a country.",,
Angela M.,1 week ago,Watching this in August and feeling so so hopeless.,70,View 4 replies
Antje Utgaard,6 days ago,The Biden Administration is struggling to present a clear vision on anything. They should apologise and call another election. |,,
ryan harry evangelista,3 days ago,Shes beautiful,,
Ngabirano Visensio,1 day ago,It will end! God is there!,,
NTZN BGZT,3 days ago,"There is no education and futures. They depend from ""conflict"". Hot money.

Theories : just follow the money.",5,
Prathmesh,1 week ago,I just want that chair … it makes someone look elegant and intellectual,93,View 9 replies
Pikachu or Picasso,3 days ago,Response: CRIMINALS!✅,,
VJ Facts,6 days ago,NYT husband & Al-Jazeera wife and romance continues 🤣🤣🤣,,
Ethan Vue,3 days ago,There's prolly gonna be another war,,
Mihai Rosu,5 days ago,3:08 who is feeding talibans with money and weapons so they can witstand US  army ?,,
Roman,2 months ago (edited),"No matter where he hates me That's how much I love Afghans
I am Citizen of pakistan but my nation is always afghan 🖤",69,View 13 replies
AYYOOB Tech,1 day ago,Your explanation very super,,
FAIZAN YAQOOB,2 days ago,Correct your word's he was not elected... He was selected by the 🇺SA,,
R🤍.,17 hours ago,"Reminder, islam has nothing to do with this! Culture and religions are 2 different things! 🙌🏾",,
Mr ONEX,4 days ago,USA+UN (Super Power Army)  VS Taliban (Not an Army- Just a Mujahid) = Taliban Win,,
digidanshow,1 week ago,"Finally, Afghanistan is back exactly where it was 20 years ago (actually 20 centuries ago). It's like a lost episode of The Twilight Zone where technology has been transported to the first century.",59,
Yasir Hussain,6 days ago,"The debonair dogsled contrastingly park because nitrogen supply kneel for a absorbing gasoline. vigorous, spiteful rake",,
Gene Tilghman,6 days ago,Another words the US government made the Taliban,1,
Julian Sloman,1 day ago,"Please change the title of this video if you have a more relevant one - it has too good ""SEO"" - meaning it shows up above other results, even though it's not the most relevant anymore. - I was looking for deeper history... though this did age well, just no longer a good ""start here"" spot.",,
Clawhawser,5 days ago,"You know, Al Jazeera has two faces ......",1,
Lav Medina,1 week ago,this docu was uploaded two months ago. it was more like a premonition of what is going to happen once the US troops withdraw.,97,View 2 replies
Sam,3 days ago (edited),"I still haven't heard a woman taliban talk. Do these people have mothers, sisters and daughters?",,
Amit Kanjilal,3 days ago,"Every video, discussion,news takes me to the same basic question, i.e. the country's economy is almost gone, but talibans have expensive guns and most importantly more expensive bullets. The real culprits are those who are funding it.",,View reply
Craig Salisbury,17 hours ago,A bunch of radical nut jobs who have been in the sun way too long.,,
Jhon Hunter,3 days ago (edited),اَلَسلم اليكمsandra😊..lLike @chanel gd information n nice🙋🙏🙏,,
Hafiz Ahmad,1 week ago,"So basically the US train Taliban to fight the Soviet for 9 years, and US also train  Afgan military for 20 years to fight Taliban?",101,View 5 replies
Devaldy Jonathan,4 days ago,"we need a real life iron man

elon musk, gear up",7,
Kama M Muhammad,3 days ago,"Taliban will free the Uighur from the oppressive China, it will then free the Levant from the clutches of US Tyrant, and then free Palestine.!",,
Englihs with music,4 days ago,"We live a civil war in Brazil too,someone can help?",1,
Raditya Goenawan,4 days ago,"yikes, you shouldn't have funded them in the first place, oh well, business is just business isn't it 😁",,
SolracNexus 2020,1 week ago,"""Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say, I am."" - the taliban probably",74,View 4 replies
6KooKie9,4 days ago,"Move them out of the controlled cities and towns. Build a few new towns and change the laws. Any Taliban come, beheadings will begin. Maybe they'll like fighting people willing to go to equal extremes...",,
Ewokis Amokis,4 days ago,Leaving like the u.s. did wasn't an accident.,,
Gargoyle815,4 days ago,"US should never meddle in the civil wars of other nations or attempt 'nation building', particularly in cultures markedly different from ours and those we don't understand.  Viet Nam, Iraq, Afghanistan - all the same result.  They end up falling into authoritarian, theocratic or communist rule after US sacrifices a lot of lives and money.",,
Jordon McMullin,2 days ago,Did the US ever have proof the osama did the attack?,,
Hannah Gower,1 week ago,"One of the saddest things for me is that here, in England and the western world, is some girls and women will to ANYTHING to skip work or school. Yet there are girls and women who are banned and denied a right to work or get an education",86,View 19 replies
Sourav Dey,3 hours ago,"It’s a natural strategy.. hand over the power or the civilians dies. A good governance can’t shove their people for power .. if they have power , to whom would they apply that to.. ? If the 85% of people wants a separate governance than they should be able to split the country accordingly.. taliban want power but they can’t use their power if they don’t have the people.",,
OLANIYI OLADELE,5 days ago,Timely,,
Clear Eyes,4 days ago,"6:42 is it true them or not whose did that. also selling drug for medicine or ""drug"". 

.until now theres not yet bad thing done by them with proof bc theres also foreign group that pick taliban flag and did things in kabul but we will know soon if they are bad or good leaders.",,
Ervin Jordhani,3 days ago,The problem in Afghanistan is that there are too many tribes that have different beliefs in Islam. And they’ll always clash as long as they all live here.,,
mhey .l,2 months ago,"LOL when Bush said that the taliban are going to pay the price, he ended up spending trillion dollars to run the war",28,View 6 replies
I'm A Garlic,5 days ago,What real estate do the Taliban own? Caves and holes under rocks?,,
ivyyy,4 days ago,"most of the malay Malaysian support the talibans. when i try to talk to them about the consequences of taliban taking over the country, all they say is ""the taliban has changed"", ""US brainwashed the afghans with western ideologies"", ""western media hates muslim"". idk what to do rn",,
JESUS IS KING channel,5 days ago,The taliban  may be the little horn that rises up on the best head. That  the bible talks about.,,
Karissa R.,2 days ago,tax payers in the USA have paid for this .. .  .    .,,
Anjana yadav,1 month ago,"Biden: ""It's time to end the forever war.""
Me: ""It was never to happen war.""",103,View 7 replies
Ashley Lala,6 days ago,"Um, wasn’t Bin Laden a CIA asset?",1,
Kazuchad Satou,5 days ago,The thumbnail made the Taliban look like a famous metal band,,
Derick Kimbi,6 days ago,What is the negative impact of not watching movies?,,
Alina,4 days ago,"MV rất hay, i like it 😲😏🙄",,
Jp Mugisha,2 months ago,America starts fires from sparks then leave nations engulfed in hot mess.,104,View 14 replies
veeru N,4 days ago,Pls request u ppl to stop funding these foolish organisations… what will get by putting so many ppl in trouble. Afghan women cry will punish Qatar for sure,,
NH,6 days ago,Thanks youtube for explaining this to me,,
Joe Garcia,2 days ago,They see thru my eyes but thru a monitor!!!,,
Neziel Ocampo,5 days ago,I believe chinese are involve secretly in this matter,,
AAA!,2 months ago,The Graveyard of super powers.,142,View 21 replies
Chip yard,4 days ago,"Nothing about the origins of the Taliban, just vague nonsense.",,
C Mann,1 day ago,can you tell america what is white oppression?,,
Tekni Kaal,6 days ago,Dayyum she fine,1,
mellegasalsexo,3 days ago,THE FEM!NIST ARMY THAT NORMALLY PROTESTS IN FREE COUNTRIES LIKE U.S.A. IS READY TO TAKE A PLAIN AND FLY TO AFGHANISTAN TO FIGHT FOR THE RIGHT OF WOMEN... 😆😆😆,2,View reply
F.B.I,1 week ago,The end of times is near…..i can feel it.,124,View 16 replies
C.j. Carter,2 days ago,Now they have there hands on billions worth of American bought weaponry.,,
SinnohReporter,1 day ago,Do NOT act like this is a win for your side. Our prayers to everyone in Afghanistan. |,,
Najeeb Khan,4 days ago (edited),"Most people with borrowed ideologies and philosophies start believing that their opinions are facts and a permanent reality.
That’s where all calculations go wrong because there are no constants and only time and patience deeply rooted in faith are the decisive factors.",,
Artyom Arty,3 days ago,"so let me get this straight, during 20 years, only 40k civilians, 64k afghan military, and 3400 international soldiers died? Are you kidding me? Do you realize how small these numbers are for a 20 year period? You call this a ""war""?  Everyone talking about afghanistan in every news network but I only now find out just how trivial this conflict is?",,
aj 1000,1 week ago,Taliban is the mess US created when they decided to invade Afghanistan just to keep Russia in Check,173,View 15 replies
William Frawley,4 days ago (edited),The Taliban is the largest buyer of Hunter's art!,,View reply
Tom Zhurbenko,4 days ago,"It's funny how Al Jazeera is providing it's opinion about Taliban. I will be very honest, for a moment I really forgot who Al Jazeera really is lol.
Nice try.",,
Henry Dycha,5 days ago,Its like YouTube new this would happen,,
Paul Taradejna,4 days ago,Essentially the taliban women will get all the rights and all the others… well welcome to existence in ever other part of the world.,,
Anjali,1 month ago,"""So far their strategy has seemed to work"" and gives that demonic smile of intense pleasure.",28,
Donald Biden,5 days ago,Ah yes aljazeera is the most neutral place to see such news,,
t,6 days ago,its like... they program us to be ready beforehand,,
Saeed Khan,1 day ago,"FACT : When the ""mujahideens"" were matyRED, perfumed oozed out of their BLOODS SUBHANALLAH ! حقیقت: جب ""مجاہدین"" میٹریڈ تھے ، خوشبو ان کے خون سبحان اللہ سے نکل گئی
حقیقت: کله چې ""مجاهدین"" میټریډ شوي وو ، د دوی د وینې سبحان الله څخه خوشبو وهل شوې وه
واقعیت: هنگامی که ""مجاهدین"" بالغ شدند ، عطر از بلودهایشان سبحان الله خارج شد",1,
Moises Perez,1 day ago,We got to pray and pray hard |,,
Tiffany Vena,2 months ago,And just because they pray together doesn’t mean they have to the same minds we just pray to the same God,116,View 17 replies
Ash Jones,1 day ago,It's probably all down to oil,,
Super_Saiyan 42,1 day ago,Let those people have their country back,,
WildLife Monkeys,4 days ago,💖💖💖💖💖💖💖💖,,
Ian Kamau,6 days ago,well that escalated quickly,,
hashim,1 month ago,I hope aljazeera would like Taliban to take control of Qatar too.,77,View 17 replies
Randy Kinder,3 days ago,0:35 I thought she was going to put on a burqa as a demonstrative answer to her own question,,
Billy Joesel,23 hours ago,What if the world starts to dox the talisman members and their crazy friends,1,View reply
Sys Uiu,4 days ago,"Israel sounds a little more civilized and humane, eh?",,
Ashley Lala,6 days ago,I wonder if the taliban will be trying to mandate masks and vaccines...,,
Faqih Rachman,1 month ago,"Bush : Taliban pay the price
Bidden : Bush pay back the credit",56,View reply
Adam Taylor,2 days ago,Failure of Afghan security forces and its leaders who run like cowards.,14,View reply
Akhtar Hussain,3 days ago,Very good  reviews,,
Forever is Real,2 days ago,If your source which says 85% of them do not agree with talibans then why did they left and let them reign...,,
